DeploymentID,City,State,Agency,TechnologyID,VendorID,Summary,Link,Latitude,Longitude
3780,Elgin,IL,Elgin Police Department,1,6,The Elgin Police Department began using body-worn cameras in June 2017. A total of 218 Axon cameras are used between 162 officers.,https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,42.03726,-88.2810994
3781,Evanston,IL,Evanston Police Department,1,6,The Evanston Police department uses Axon body-worn cameras.,https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,42.0470043,-87.6846053
3782,Farmer City,IL,Farmer City Police Department,1,4,All five Farmer City Police Department officers use body-worn cameras as of 2019.,https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,40.2433676,-88.6425668
3783,Vandalia,IL,Fayette County Sheriff's Office,1,4,The Fayette County Sheriff’s Office uses 13 cameras between 19 officers.,https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,38.960601,-89.0936778
3784,Findlay,IL,Findlay Police Department,1,4,"The Findlay Police Department uses body-worn cameras, according to a 2018 report by the Illinois Law Enforcement Training and Standards Board.",https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,39.5225372,-88.7536817
3785,Freeport,IL,Freeport Police Department,1,21,The Freeport Police Department has 16 VIEVU body-worn cameras.,https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,42.2966861,-89.6212271
3786,Glenwood,IL,Glenwood Police Department,1,4,"The Glenwood Police Department has 25 body-worn cameras, which are shared by 22 officers.",https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,41.5424867,-87.6022765
3787,Greenup,IL,Greenup Police Department,1,4,Four Greenup Police Department officers wear body-worn cameras.,https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,39.2478159,-88.1633719
3788,Harvard,IL,Harvard Police Department,1,4,"The Harvard Police Department uses body-worn cameras, according to a 2018 report by the Illinois Law Enforcement Training and Standards Board.",https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,42.422241,-88.6137101
3789,Oquawka,IL,Henderson County Sheriff's Office,1,4,The Henderson County Sheriff’s Office has 10 body-worn cameras.,https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,40.931982,-90.9470863
3790,Yorkville,IL,Kendall County Sheriff's Office,1,4,"The Kendall County Sheriff’s Office uses body-worn cameras, according to a 2018 report by the Illinois Law Enforcement Training and Standards Board.",https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,41.6411409,-88.4472948
3791,Kewanee,IL,Kewanee Police Department,1,4,The Kewanee Police Department had 24 body-worn cameras as of 2019.,https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,41.2455927,-89.9248303
3792,Ladd,IL,Ladd Police Department,1,4,"The Ladd Police Department uses body-worn cameras, according to a 2018 report by the Illinois Law Enforcement Training and Standards Board.",https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,41.3825348,-89.2189748
3793,Lakemoor,IL,Lakemoor Police Department,1,4,"The Lakemoor Police Department has 10 body-worn cameras, which are shared between 19 officers.",https://www.documentcloud.org/documents/6793300-Illinois-BWC-2018.html,42.3286331,-88.1989732
