City,State,Agency,tech_type,Vendor,date,year
Fairview Park,OH,Fairview Park Police Department,Automated License Plate Readers,Selex,1/9/2019,2019.0
Garfield Heights,OH,Garfield Heights Police Department,Automated License Plate Readers,Selex,1/9/2019,2019.0
Independence,OH,Independence Police Department,Automated License Plate Readers,Selex,1/9/2019,2019.0
Lakewood,OH,Lakewood Police Department,Automated License Plate Readers,Selex,1/9/2019,2019.0
Lyndhurst,OH,Lyndhurst Police Department,Automated License Plate Readers,Selex,1/9/2019,2019.0
Maple Heights,OH,Maple Heights Police Department,Automated License Plate Readers,Selex,1/9/2019,2019.0
Mayfield Heights,OH,Mayfield Heights Police Department,Automated License Plate Readers,Selex,1/9/2019,2019.0
North Olmsted,OH,North Olmsted Police Department,Automated License Plate Readers,Selex,1/9/2019,2019.0
Olmsted Township,OH,Olmsted Township Police Department,Automated License Plate Readers,Selex,1/9/2019,2019.0
Orange Village,OH,Orange Village Police Department,Automated License Plate Readers,Selex,1/9/2019,2019.0
Parma,OH,Parma Police Department,Automated License Plate Readers,Selex,1/9/2019,2019.0
Shaker Heights,OH,Shaker Heights Police Department,Automated License Plate Readers,Selex,1/9/2019,2019.0
Solon,OH,Solon Police Department,Automated License Plate Readers,Selex,1/9/2019,2019.0
South Euclid,OH,South Euclid Police Department,Automated License Plate Readers,Selex,1/9/2019,2019.0
Strongsville,OH,Strongsville Police Department,Automated License Plate Readers,Selex,1/9/2019,2019.0
University Circle,OH,University Circle Police Department,Automated License Plate Readers,Selex,1/9/2019,2019.0
Woodmere,OH,Woodmere Police Department,Automated License Plate Readers,Selex,1/9/2019,2019.0
Millersville,MD,Anne Arundel County Police Department,Automated License Plate Readers,,02/22/2019,2019.0
Towson,MD,Baltimore County Police Department,Automated License Plate Readers,,02/22/2019,2019.0
Baltimore,MD,Baltimore Police Department,Automated License Plate Readers,,02/22/2019,2019.0
La Plata,MD,Charles County Sheriff's Office,Automated License Plate Readers,,02/22/2019,2019.0
Ellicott City,MD,Howard County Police Department,Automated License Plate Readers,,02/22/2019,2019.0
Gaithersburg,MD,Montgomery County Police Department,Automated License Plate Readers,,02/22/2019,2019.0
Pikesville,MD,Maryland State Police,Automated License Plate Readers,,02/22/2019,2019.0
Baltimore,MD,Maryland Transportation Authority,Automated License Plate Readers,,02/22/2019,2019.0
Ocean City,MD,Ocean City Police Department,Automated License Plate Readers,,02/22/2019,2019.0
Landover,MD,Prince George's County Police Department,Automated License Plate Readers,,02/22/2019,2019.0
Towson,MD,Towson University Police Department,Automated License Plate Readers,,02/22/2019,2019.0
College Park,MD,University of Maryland Police Department,Automated License Plate Readers,,02/22/2019,2019.0
Annapolis,MD,Annapolis Police Department,Automated License Plate Readers,,02/22/2019,2019.0
Alhambra,CA,Alhambra Police Department,Predictive Policing,Geolitica,2/11/2014,2014.0
Campbell,CA,Campbell Police Department,Body-worn Cameras,Axon,4/28/2015,2015.0
Edgewater,FL,Edgewater Police Department,Body-worn Cameras,Axon,5/5/2015,2015.0
Clayton,CA,Clayton Police Department,Body-worn Cameras,Axon,02/20/2018,2018.0
Thomasville,GA,Thomasville Police Department,Body-worn Cameras,Motorola Solutions,4/23/2019,2019.0
Raritan,NJ,Raritan Police Department,Body-worn Cameras,Axon,2020,2020.0
Berkeley Heights,NJ,Berkeley Heights Police Department,Body-worn Cameras,Axon,2020,2020.0
West Palm Beach,FL,West Palm Beach Police Department,Gunshot Detection,ShotSpotter,8/14/2018,2018.0
Modesto,CA,Modesto Police Department,Drones,Axon,06/18/2018,2018.0
Marietta,GA,Cobb County Police Department,Face Recognition,,01/17/2020,2020.0
San Mateo,CA,San Mateo Police Department,Body-worn Cameras,Axon,2/8/2018,2018.0
Broomfield,CO,Broomfield Police Department,Body-worn Cameras,Axon,5/23/17,2017.0
Las Vegas,NV,Las Vegas Metropolitan Police Department,Gunshot Detection,ShotSpotter,10/17/2019,2019.0
Fort Myers,FL,Fort Myers Police Department,Gunshot Detection,ShotSpotter,12/10/2018,2018.0
Hartford,CT,Hartford Police Department,Gunshot Detection,ShotSpotter,03/28/2016,2016.0
Glassboro,NJ,Rowan University Police Department,Body-worn Cameras,Axon,2020,2020.0
Cherry Hill,NJ,Cherry Hill Police Department,Body-worn Cameras,Axon,2020,2020.0
Hagerstown,MD,Hagerstown Police Department,Predictive Policing,Geolitica,10/27/2014,2014.0
Raleigh,NC,Raleigh Police Department,Face Recognition,DataWorks Plus,2/11/2020,2020.0
Atlanta,GA,U.S. Customs and Border Protection - Hartsfield-Jackson Atlanta International Airport,Face Recognition,,3/11/2019,2019.0
Chicago,IL,U.S. Customs and Border Protection - Chicago O'Hare International Airport,Face Recognition,,3/11/2019,2019.0
Seattle,WA,U.S. Customs and Border Protection - Sea-Tac Airport,Face Recognition,,3/11/2019,2019.0
Las Vegas,NV,U.S. Customs and Border Protection - McCarran International Airport,Face Recognition,,3/11/2019,2019.0
Dulles,VA,U.S. Customs and Border Protection - Dulles International Airport,Face Recognition,,3/11/2019,2019.0
Arlington,VA,U.S. Customs and Border Protection - Reagan National Airport,Face Recognition,,3/11/2019,2019.0
Boston,MA,U.S. Customs and Border Protection - Boston Logan International Airport,Face Recognition,,3/11/2019,2019.0
Fort Lauderdale,FL,U.S. Customs and Border Protection - Fort Lauderdale-Hollywood International Airport,Face Recognition,,3/11/2019,2019.0
Houston,TX,U.S. Customs and Border Protection - George Bush Intercontinental/Houston Airport,Face Recognition,,3/11/2019,2019.0
DFW Airport,TX,U.S. Customs and Border Protection - Dallas-Fort Worth International Airport,Face Recognition,,3/11/2019,2019.0
Queens,NY,U.S. Customs and Border Protection - John F. Kennedy International Airport,Face Recognition,,3/11/2019,2019.0
